weight,gripForce
64.1,47.9
72.9,46.7
56.3,36.4
68.1,50.3
51.3,32.3
66.6,53.9
3.8,30.1
68.8,40.2
97.6,59.3
54.3,30.1
62.7,45.2
71.3,48.7
63.7,43.0
69.0,43.3
80.9,46.1
86.4,67.2
58.7,169.10956
7.9,48.0
64.1,44.9
63.8,41.3
62.2,29.5
67.3,104.2314
56.9,36.1
53.1,35.9
49.2,19.7
87.6,56.3
56.5,30.8
71.4,43.1
80.0,46.9
65.6,66.1
91.5,71.8
78.6,52.4
188.4,37.0
76.0,54.8
56.4,25.3
53.4,34.1
57.6,28.1
51.4,28.3
62.7,42.8
54.6,30.4
66.4,55.9
92.4,51.7
nan,55.7
63.2,42.2
52.7,29.3
75.8,61.6
49.6,36.0
52.7,30.5
66.3,70.3
59.7,31.4
135.8,126.90363
85.1,55.2
73.9,61.1
71.8,33.6
53.3,36.6
98.5,59.3
71.8,55.3
178.4,51.0
66.9,44.3
65.3,52.2
56.2,54.0
79.5,58.4
43.2,32.6
67.9,48.2
66.6,49.2
50.8,32.4
64.5,49.1
52.3,32.8
67.1,45.4
54.5,26.6
69.3,48.1
65.5,52.3
60.5,48.5
71.8,47.5
71.2,46.9
70.9,55.6
74.3,149.67911
78.9,61.9
76.3,43.0
84.6,65.4
59.1,30.0
78.4,58.8
2.6,58.0
77.7,56.3
55.1,34.9
80.7,51.1
70.4,45.5
57.7,30.2
8.9,43.0
70.0,46.7
5.0,56.4
50.6,21.4
44.6,28.3
52.4,24.8
67.1,49.2
74.7,57.0
64.1,45.4
68.1,35.3
50.2,45.7
82.4,58.3
78.6,61.7
71.9,44.2
60.6,43.2
80.8,48.4
77.8,49.4
55.6,31.0
82.6,57.2
85.0,65.2
66.0,49.0
67.1,52.4
69.3,155.38168
72.7,49.1
57.4,37.6
nan,24.8
63.5,60.5
64.2,43.1
73.1,61.8
62.7,32.5
66.5,46.0
59.6,37.3
81.9,56.4
75.1,51.7
65.5,55.3
56.5,37.9
72.5,51.7
68.2,50.4
55.7,27.8
54.5,35.9
73.7,38.5
69.9,56.3
62.1,36.5
68.1,54.5
53.4,33.8
56.6,49.7
74.1,48.4
64.3,36.8
70.0,48.0
57.4,22.2
76.6,59.0
85.1,49.2
70.5,57.2
51.9,25.6
55.7,32.5
64.3,48.5
64.4,32.6
87.3,52.3
64.7,61.1
68.0,32.2
78.6,51.7
50.9,26.0
52.7,34.7
59.1,36.8
45.2,26.2
54.6,23.5
69.1,49.2
49.0,31.1
61.6,53.5
68.6,57.8
192.6,44.8
71.7,52.4
54.7,35.8
79.9,60.8
74.0,58.9
70.0,44.9
50.8,36.2
64.8,34.3
62.6,49.8
45.6,31.2
75.7,58.3
76.6,53.2
53.5,24.5
53.2,31.0
88.2,53.9
59.8,26.2
178.1,53.3
60.9,24.6
81.6,69.1
74.4,49.9
62.4,41.9
79.7,41.0
56.0,31.1
64.5,32.4
95.0,52.4
77.5,52.0
73.5,60.2
92.0,73.6
67.6,110.42477
64.1,180.58437
70.8,53.4
46.3,28.8
68.6,39.7
77.3,55.2
56.7,25.9
83.6,59.0
80.5,48.7
59.4,30.5
54.5,30.5
90.5,55.3
59.5,35.3
52.6,35.0
60.0,35.3
79.9,23.5
51.7,34.8
58.1,29.5
54.5,29.0
65.1,43.8
58.4,47.9
185.4,31.3
69.8,49.3
66.5,54.2
195.6,38.3
70.7,60.4
78.3,52.1
61.2,27.4
69.5,42.7
76.5,48.6
185.5,53.5
153.1,26.5
75.7,191.02895
63.4,53.2
84.7,71.0
90.5,57.7
77.0,61.4
63.5,33.0
81.0,60.6
64.4,56.6
77.4,21.6
85.4,55.4
82.3,28.2
55.5,44.5
59.2,27.5
87.3,144.37987
71.7,47.5
67.7,52.1
74.5,51.7
74.1,44.8
83.0,51.8
58.1,32.2
0.4,32.8
73.2,50.5
68.3,55.2
75.6,57.6
1.3,26.6
81.0,149.58131
68.6,36.2
91.0,55.9
64.4,43.4
5.6,32.4
61.0,49.6
56.0,35.0
63.1,32.9
56.6,43.2
81.1,64.2
80.2,142.04745
71.4,56.4
1.9,29.2
66.4,41.2
78.5,60.0
75.2,59.9
65.6,42.1
79.8,54.4
63.7,48.8
66.8,48.4
78.7,50.9
76.8,57.5
57.5,25.9
97.8,63.5
51.4,32.3
55.0,27.6
73.2,47.2
60.5,50.8
178.1,27.5
5.9,34.8
53.0,140.15892
57.6,43.0
155.1,31.4
83.7,60.7
74.8,62.2
63.0,44.3
88.4,46.8
76.8,66.6
76.4,49.3
65.2,52.0
71.8,54.5
58.8,29.5
78.2,29.0
53.5,33.8
70.1,37.4
90.3,62.4
62.2,54.0
5.8,29.5
101.8,49.4
79.5,50.6
71.4,47.6
75.2,59.5
63.0,42.4
39.8,26.5
77.7,54.7
78.9,154.33943
63.0,46.7
74.0,48.0
46.5,31.4
73.1,44.0
53.1,22.9
48.4,28.1
59.1,39.1
63.4,147.22597
78.8,50.5
59.2,40.1
60.3,49.3
69.0,56.6
53.8,26.2
75.6,50.9
60.2,31.3
73.6,45.2
85.3,67.7
71.3,31.1
79.1,66.4
59.4,28.6
78.1,58.6
61.4,172.74303
75.8,49.4
74.7,56.4
87.6,48.6
65.0,41.9
70.7,51.5
47.3,29.0
77.2,45.1
57.4,33.7
53.0,32.5
81.2,53.4
79.0,64.3
71.3,29.8
71.1,51.7
48.7,27.7
74.3,45.6
64.0,40.9
82.2,52.0
77.0,55.6
58.3,31.9
50.0,22.3
49.6,26.8
81.0,59.0
53.1,30.7
90.8,25.8
71.7,52.2
70.7,67.6
70.7,50.4
74.4,58.2
85.0,45.6
47.1,23.9
53.3,34.8
53.6,25.6
58.2,34.9
54.4,43.7
71.7,45.0
49.5,25.1
54.6,37.3
68.8,46.8
84.0,39.0
9.2,31.9
62.1,35.4
69.4,46.2
81.0,49.2
61.8,56.2
57.5,42.2
72.6,49.9
75.9,56.6
72.3,46.2
82.7,62.8
60.3,32.0
57.6,29.3
82.2,74.2
56.2,31.8
69.1,55.0
183.3,30.8
75.5,168.2058
75.8,40.9
50.7,27.4
50.0,32.5
46.6,32.9
51.1,25.0
75.4,106.123436
64.0,40.4
58.7,27.7
68.2,51.7
86.2,58.8
70.4,43.4
74.1,47.2
79.5,51.5
50.2,27.8
64.8,37.4
74.6,56.3
65.3,37.6
57.5,32.3
67.5,61.3
77.5,57.6
81.0,74.9
72.8,53.5
58.5,30.5
75.2,58.7
54.4,31.4
76.0,30.1
0.5,46.6
88.4,47.2
76.4,56.4
70.4,51.7
64.3,54.8
50.8,28.4
60.8,30.2
81.5,58.1
67.6,52.6
83.6,51.6
79.1,100.5728
87.1,41.4
73.6,36.2
52.2,45.0
64.3,22.9
43.0,25.1
81.5,52.3
52.5,173.51965
70.7,56.8
81.4,58.8
67.4,153.71964
69.6,46.2
55.2,29.2
67.9,49.4
70.4,41.8
68.5,42.6
90.9,48.7
48.5,23.9
102.4,37.9
70.0,48.7
81.9,56.0
58.6,34.1
55.0,22.0
55.7,31.4
39.1,27.7
63.6,43.8
49.8,28.0
69.0,54.7
61.0,46.3
72.7,147.50558
60.8,43.2
57.0,44.0
87.0,55.6
91.8,51.4
60.8,24.8
0.9,57.4
47.3,32.3
87.0,70.4
51.2,31.0
62.1,44.5
80.9,55.9
47.5,28.2
51.0,24.7
62.0,37.4
58.2,49.2
64.6,49.6
76.9,52.4
53.5,31.4
55.0,31.1
53.6,32.5
77.7,60.2
67.6,46.3
61.8,38.4
49.0,27.2
46.7,34.2
78.7,52.8
72.2,50.9
50.7,27.2
71.1,49.4
67.9,54.0
55.9,32.5
82.0,61.8
69.9,40.6
59.3,148.15608
82.6,62.9
61.6,47.3
77.1,43.8
74.1,51.0
2.3,47.5
74.6,169.2087
59.9,54.6
73.4,54.2
73.0,31.4
74.9,66.6
1.2,40.6
54.0,28.9
65.2,55.2
68.0,48.4
81.1,49.3
53.5,27.1
69.4,48.8
59.8,44.5
60.3,54.4
73.4,54.1
70.7,46.4
82.3,69.0
63.0,54.7
56.2,27.7
7.2,19.3
65.8,45.5
0.1,23.5
94.5,50.8
49.1,34.0
64.2,29.5
56.3,28.1
68.5,41.9
57.2,42.4
81.2,122.98882
54.1,194.00024
85.4,58.2
67.7,50.9
86.3,58.3
59.7,24.4
98.3,62.8
75.8,49.0
64.5,47.0
60.3,46.7
62.4,28.7
43.7,25.2
77.5,53.3
66.2,52.9
78.3,48.1
73.8,60.0
78.1,62.4
57.3,23.3
64.7,32.0
63.6,33.2
76.9,54.0
63.0,57.0
74.5,48.8
67.3,31.3
64.8,45.8
84.1,52.7
74.2,61.6
54.5,33.4
71.3,53.3
61.7,49.7
63.6,46.7
55.2,28.2
64.7,44.8
65.2,43.7
62.1,40.1
89.3,60.5
77.8,57.0
1.4,34.7
66.8,51.7
53.4,31.9
67.0,42.5
nan,39.1
49.7,35.6
182.3,60.0
57.6,37.0
60.1,30.7
49.3,25.6
78.9,43.0
54.8,34.8
65.4,39.6
57.0,36.2
76.6,48.0
64.5,48.2
84.5,40.3
72.1,55.2
58.8,46.9
73.5,53.4
84.2,55.6
64.0,46.8
80.3,64.2
69.0,49.1
78.8,46.9
62.4,18.0
64.5,43.6
73.0,49.9
84.9,47.4
54.3,26.2
45.3,28.7
49.8,35.4
68.8,44.9
nan,51.6
53.8,32.0
86.4,62.3
72.0,59.6
79.6,63.5
75.0,55.0
50.8,17.9
49.2,25.3
76.0,48.5
64.6,41.4
58.7,30.2
58.1,32.0
62.1,34.3
184.3,55.3
72.8,138.40376
50.5,27.1
53.3,24.4
70.2,62.2
49.0,25.8
49.2,30.1
72.5,40.9
55.3,34.1
91.6,70.7
54.1,26.3
56.9,164.15866
56.0,39.5
85.2,57.5
56.0,107.732895
80.8,66.5
57.9,25.1
47.6,27.8
68.1,52.6
55.9,29.2
50.8,32.5
63.5,39.2
53.5,24.5
83.6,56.9
46.5,27.5
71.9,58.4
77.6,60.6
4.5,168.55139
43.6,26.4
6.9,27.7
63.9,44.6
49.8,27.8
51.2,31.3
4.6,27.7
58.0,30.2
63.3,28.8
74.2,54.0
56.5,42.7
67.4,30.7
61.3,35.2
78.3,55.8
74.6,57.5
8.6,53.0
77.3,66.1
56.5,36.0
79.1,65.2
56.7,28.8
70.1,43.6
60.7,31.3
76.3,46.6
82.1,62.3
60.6,53.9
67.9,40.9
60.6,130.4989
76.8,57.4
71.0,56.6
77.1,73.8
58.9,33.1
71.8,62.6
77.7,40.8
71.2,51.5
63.3,50.8
78.8,52.8
75.2,45.4
66.1,40.6
62.2,30.8
68.3,36.7
47.5,17.9
66.9,47.2
71.6,61.6
63.8,31.1
74.3,125.904144
77.6,64.9
69.0,51.8
68.5,59.6
67.8,35.3
71.6,48.7
70.2,58.2
57.2,40.7
66.5,46.9
70.7,68.4
87.9,59.5
55.7,27.1
66.6,51.6
73.0,61.8
78.5,51.2
59.7,31.0
68.3,47.2
68.5,58.7
69.2,30.2
80.1,50.8
163.0,31.9
94.9,49.1
61.2,37.6
75.6,70.1
65.7,39.1
69.1,70.3
82.5,55.7
58.2,39.1
70.5,49.3
78.7,50.3
164.9,34.9
64.9,37.6
54.1,23.8
70.7,38.2
83.6,55.0
60.6,33.8
60.2,29.4
61.4,32.5
72.3,44.5
67.5,44.3
2.1,66.6
68.6,50.3
76.3,50.0
80.8,52.9
65.7,37.1
54.4,117.85793
70.8,58.3
69.7,169.65999
63.4,41.4
96.1,40.8
185.1,36.7
84.8,53.5
95.8,75.6
54.0,20.8
50.4,36.5
52.5,39.1
5.0,175.01183
55.3,30.4
62.7,29.8
83.1,54.2
50.9,32.6
55.0,38.2
83.6,70.6
78.0,62.5
61.9,37.4
63.1,33.0
63.1,40.9
68.4,42.7
52.1,27.4
77.7,52.3
63.2,35.3
53.1,28.0
70.8,64.9
75.7,65.0
68.2,51.4
58.9,35.9
85.3,53.9
57.5,41.3
76.9,53.6
80.1,55.1
54.1,34.1
74.7,53.6
65.7,48.1
80.0,43.3
56.4,24.4
70.5,43.7
56.7,29.6
70.9,45.8
55.3,37.6
53.6,33.8
84.7,64.7
54.5,38.8
44.8,31.8
62.9,32.3
66.3,57.5
nan,52.7
51.6,30.6
66.3,46.6
65.9,57.5
92.1,50.0
84.6,70.9
52.8,29.3
56.5,43.1
74.3,56.5
69.8,40.3
70.5,51.1
73.6,51.7
59.3,33.5
71.1,52.9
190.1,31.9
62.8,40.8
53.0,26.3
82.5,52.0
67.2,39.7
72.3,59.2
70.8,41.6
72.6,15.1
73.2,50.3
48.3,31.0
68.5,55.6
76.4,51.4
59.2,22.1
86.3,64.9
nan,63.8
78.6,59.3
82.1,37.6
79.2,63.6
80.6,48.0
82.2,51.5
71.1,49.6
71.8,45.5
63.8,20.6
59.2,23.9
54.4,32.5
65.3,56.0
54.4,25.6
68.4,43.4
59.3,49.1
67.7,52.2
56.6,34.3
72.4,63.1
50.4,34.4
67.9,44.6
85.7,65.8
67.6,45.4
96.4,67.1
75.1,44.2
86.7,41.2
71.3,45.4
74.8,52.3
54.9,27.2
80.1,68.5
46.2,29.4
51.6,39.0
67.2,39.4
82.0,47.3
63.7,53.3
79.0,54.7
70.8,58.3
46.7,24.8
48.3,25.1
52.8,38.5
154.8,43.8
66.3,42.0
67.7,32.8
66.7,25.3
73.6,45.4
80.1,40.6
190.4,31.4
69.0,48.0
76.5,45.0
59.4,34.7
51.4,24.1
61.6,40.1
158.3,29.5
57.1,39.5
57.8,47.6
59.8,23.6
75.7,52.4
71.6,55.6
71.8,49.1
64.5,30.5
51.3,30.4
65.0,49.7
57.0,35.9
66.2,51.7
63.3,48.7
62.3,36.1
74.0,67.7
57.3,21.0
85.1,65.4
68.2,44.5
82.1,57.6
65.6,52.1
73.0,44.5
81.9,57.4
55.2,29.3
77.4,58.4
65.1,52.3
78.5,30.7
62.1,45.2
53.3,25.3
56.0,33.7
1.6,48.8
73.1,55.0
88.2,65.4
76.6,64.7
72.9,40.9
47.4,18.8
70.9,54.2
67.7,36.0
6.4,57.2
67.8,49.9
65.7,28.4
54.8,33.1
68.5,38.5
70.6,49.6
67.2,61.3
66.0,58.7
60.0,39.8
71.2,125.09511
70.1,57.4
63.9,31.6
57.9,33.2
69.5,51.7
72.4,57.6
51.3,21.2
66.4,35.9
57.5,47.4
58.5,42.8
47.2,28.0
72.6,59.8
70.2,49.3
63.9,38.8
65.7,45.4
60.8,36.6
66.0,58.7
62.1,38.4
67.0,48.7
86.0,73.2
59.1,26.5
46.6,27.6
79.5,61.2
62.1,35.3
81.5,155.1792
56.5,31.9
nan,44.9
81.8,56.5
54.7,33.8
74.1,58.4
76.6,59.4
88.8,57.6
74.7,53.6
52.3,174.63747
55.5,19.9
181.1,56.2
81.4,69.5
43.9,27.7
55.2,26.8
98.4,49.0
62.7,42.5
71.5,71.5
78.8,54.1
78.7,74.8
52.0,29.0
55.6,31.7
58.9,31.7
80.5,67.8
72.0,49.6
85.8,30.8
86.2,58.2
75.1,46.8
68.1,43.2
74.4,42.1
62.5,37.4
57.6,33.5
67.8,33.7
55.9,32.0
62.4,43.1
73.1,34.2
48.9,26.8
72.1,59.3
73.2,51.4
59.5,32.0
80.0,60.1
69.9,49.6
80.1,54.0
70.8,57.8
68.7,43.9
78.3,56.3
76.6,40.0
55.6,59.4
77.9,49.6
69.9,63.0
54.3,31.8
65.7,42.1
66.0,41.0
48.0,24.8
79.8,55.9
72.6,55.4
76.1,63.0
69.8,60.4
59.3,35.3
59.6,33.0
64.3,39.0
72.2,58.6
65.8,53.2
73.0,56.9
49.7,28.3
74.0,68.2
59.4,47.2
93.8,52.3
66.0,31.2
54.2,27.1
54.7,31.7
67.0,31.1
71.4,32.0
70.2,50.0
69.0,31.3
60.9,35.9
75.3,51.5
49.6,30.2
56.8,30.7
72.0,55.4
66.0,49.8
58.4,42.1
53.1,39.6
51.6,29.8
68.5,53.9
70.8,46.0
69.3,44.9
58.0,34.8
78.6,60.5
61.3,33.5
81.1,61.4
52.7,35.3
59.7,46.8
54.6,34.3
54.4,38.5
65.0,54.2
62.0,35.3
63.0,40.1
67.8,49.7
53.3,31.1
69.1,49.2
53.7,41.9
81.9,64.3
64.1,41.6
83.8,69.1
62.7,60.7
42.4,25.4
nan,52.7
56.5,20.6
64.9,49.4
174.1,20.3
6.4,32.6
64.6,47.0
52.4,42.5
86.4,59.0
61.3,33.2
57.0,33.1
80.0,52.9
53.9,22.6
70.4,154.60327
64.5,34.4
57.6,31.6
70.1,56.9
62.0,42.6
80.2,55.9
66.4,47.0
72.0,35.0
94.9,59.9
82.1,70.7
63.7,45.2
81.6,78.0
56.2,32.6
60.4,30.4
61.1,30.7
176.1,32.0
50.1,28.0
46.0,24.2
72.0,60.4
64.7,45.7
52.0,28.6
68.3,51.8
67.7,44.9
56.0,38.3
57.2,40.6
78.4,52.2
90.7,62.4
56.8,27.0
61.8,46.1
87.6,70.8
59.1,30.6
59.4,42.5
69.4,37.9
95.0,59.0
77.1,55.0
65.2,44.6
52.9,31.2
55.0,32.6
53.9,28.4
66.8,52.7
59.0,29.4
54.8,33.0
80.6,60.2
53.9,31.6
82.0,43.4
3.2,27.0
76.2,59.3
48.1,29.9
52.2,18.6
66.3,36.8
71.9,43.9
60.6,43.8
53.3,34.1
55.9,31.2
70.2,40.0
60.3,49.9
83.4,62.6
nan,46.7
72.4,70.2
52.8,34.9
185.2,61.1
86.0,57.5
71.6,47.6
8.9,56.5
93.2,74.5
52.8,29.6
53.6,29.2
70.4,49.6
87.1,53.6
72.1,55.4
48.2,27.8
59.5,34.9
73.8,64.3
62.7,46.1
71.4,51.0
73.6,60.7
62.6,36.8
71.0,37.8
74.1,43.4
78.4,44.2
57.1,23.8
72.8,64.1
49.5,24.8
47.5,29.4
69.4,58.4
82.0,60.8
83.7,58.3
50.3,27.5
78.8,54.7
43.4,26.5
69.4,52.7
69.3,56.6
71.6,56.9
77.9,50.4
60.3,42.1
43.7,30.2
74.1,38.3
64.3,23.2
66.3,51.2
57.3,20.3
65.3,41.3
58.2,36.6
73.8,54.1
176.6,62.0
59.1,63.8
76.4,51.2
76.9,56.9
65.5,140.25162
55.6,25.6
75.9,48.1
85.7,196.45422
85.0,57.4
65.5,32.8
68.9,119.97518
63.1,48.7
85.7,58.4
53.8,29.4
75.3,50.8
64.4,62.5
65.8,43.8
71.8,44.4
88.5,40.7
70.1,47.4
55.6,34.2
67.3,49.7
59.1,39.7
65.0,34.2
68.9,51.2
56.9,28.2
44.9,28.6
55.8,34.7
52.5,27.6
75.9,62.2
54.0,40.0
51.6,190.6456
87.8,32.0
54.8,42.5
73.4,52.3
50.5,27.4
50.2,48.1
61.9,30.1
45.6,30.7
64.5,26.8
53.9,27.0
60.9,46.7
55.5,35.9
55.3,17.4
54.1,38.9
55.0,25.1
4.7,31.8
54.6,32.6
71.4,28.3
78.7,58.3
57.1,48.4
71.5,39.6
63.1,57.4
56.1,42.2
70.5,145.802
49.1,35.2
180.7,31.9
82.1,67.3
74.8,55.0
64.4,39.1
48.8,28.3
51.8,34.0
57.9,31.9
57.6,35.0
64.6,44.2
66.8,22.1
61.3,25.3
76.0,56.8
85.4,50.3
50.1,30.0
68.3,43.1
59.5,179.5058
63.5,42.4
75.4,83.9
55.4,31.3
60.1,32.0
75.4,66.8
60.3,35.2
81.4,39.4
73.6,57.6
86.1,56.3
58.3,35.3
76.7,52.0
57.8,26.3
61.5,23.0
73.2,53.6
56.5,42.4
73.3,49.9
71.6,59.3
59.3,22.6
72.4,47.9
90.9,47.6
54.1,26.9
78.2,58.9
95.7,50.4
1.2,69.4
67.4,52.6
73.0,45.5
73.2,51.2
85.5,42.8
190.4,39.8
70.5,33.6
1.5,33.0
61.8,48.2
74.9,67.4
53.9,24.8
80.1,70.4
73.5,54.5
53.0,27.0
50.3,33.5
64.3,29.4
6.4,25.6
51.1,59.4
70.0,53.3
52.6,50.9
82.6,52.7
66.7,66.2
79.1,55.7
62.8,47.5
67.7,40.1
54.3,55.2
199.8,35.6
60.3,34.8
50.9,32.4
75.6,56.4
52.0,30.2
80.5,56.3
108.2,58.1
65.2,53.4
64.2,38.6
64.6,45.0
62.6,59.2
51.0,27.1
64.2,49.9
75.1,60.4
81.9,54.4
59.2,31.3
69.3,54.7
3.7,49.0
58.4,27.7
52.4,116.73761
63.2,49.1
81.6,68.5
67.6,43.3
76.2,45.6
81.4,70.4
72.9,62.4
75.0,72.0
74.7,58.9
57.2,25.3
70.2,45.6
44.3,26.8
64.4,52.6
81.0,60.2
47.1,30.6
53.8,35.8
63.7,38.2
73.8,62.3
60.9,48.1
52.1,23.9
51.8,31.9
83.9,63.0
52.3,28.7
64.5,46.0
67.7,56.6
61.1,34.6
90.9,44.0
58.3,34.4
67.9,41.2
65.3,55.0
71.2,48.8
79.7,38.2
58.9,25.3
47.4,22.1
52.0,49.3
76.8,55.6
73.4,51.7
63.4,41.5
155.2,57.1
96.6,53.8
65.5,48.7
76.6,64.2
81.1,56.2
73.7,48.2
78.9,46.7
79.3,63.6
61.2,52.2
60.4,21.5
61.9,26.6
53.0,34.9
49.4,30.0
62.6,39.8
76.9,53.3
55.8,37.6
10.0,50.6
73.1,41.9
52.6,30.6
59.8,39.4
51.0,36.1
72.4,54.8
46.2,25.3
66.2,47.2
56.0,32.4
69.2,37.4
72.4,53.4
69.3,38.5
70.6,52.7
88.7,68.0
61.8,49.1
58.4,37.3
83.9,60.6
163.9,59.9
92.2,56.3
66.9,60.6
92.0,45.1
57.7,36.0
68.6,42.7
75.3,50.9
81.7,56.2
65.8,37.3
68.1,41.3
87.3,49.8
61.8,34.1
68.6,34.8
70.6,33.1
1.1,63.7
68.3,45.8
67.0,58.1
54.5,27.6
75.1,66.4
66.2,49.7
64.5,44.5
46.2,28.4
75.4,63.2
59.6,22.8
60.3,40.8
79.5,47.5
79.2,48.0
65.2,46.1
73.3,50.4
92.7,53.4
66.9,24.8
72.1,31.7
74.1,40.9
75.7,62.6
73.0,48.5
69.4,56.8
72.8,61.6
47.8,30.2
62.8,34.0
70.7,48.2
49.5,38.2
73.1,68.3
64.3,33.1
72.8,57.5
77.7,55.4
65.3,48.0
77.1,49.7
61.2,34.2
54.3,28.4
187.6,34.8
73.1,62.2
58.2,36.5
78.3,55.4
7.1,52.9
66.2,56.2
66.8,37.4
71.0,132.42638
80.2,49.6
80.0,60.8
65.3,62.3
74.2,51.2
52.4,37.2
57.9,30.1
57.5,29.6
42.5,24.2
60.3,28.2
49.6,27.1
69.9,43.0
61.1,40.7
79.2,68.5
64.6,41.6
68.6,57.0
85.1,68.3
100.1,119.22208
71.7,59.0
89.5,52.2
51.0,28.6
64.7,44.4
80.2,33.8
53.0,29.4
53.5,121.25612
51.8,25.8
51.3,20.3
71.6,49.2
80.9,49.6
64.8,44.9
60.0,27.0
nan,36.4
79.7,52.6
63.8,42.2
54.7,22.2
64.4,49.3
79.0,51.5
91.4,66.4
90.0,46.7
64.8,48.4
60.8,54.8
63.3,51.5
52.5,33.8
68.6,56.2
63.7,38.2
69.6,52.9
78.8,49.2
63.3,47.2
71.8,40.2
72.8,51.7
76.4,62.3
61.4,37.7
80.5,58.0
82.1,60.0
79.7,56.8
66.8,52.8
72.3,54.6
178.6,53.8
54.2,195.25575
55.6,28.8
55.0,34.8
52.8,25.2
69.7,40.1
84.2,65.6
59.6,34.1
71.2,191.77202
56.9,39.6
84.2,178.27599
66.6,57.6
56.5,54.6
73.5,50.9
49.5,27.5
52.9,27.5
80.8,77.6
70.2,30.6
47.9,32.9
72.1,56.6
73.1,55.6
50.2,27.5
5.3,47.3
86.0,53.2
53.5,21.1
69.5,55.8
63.5,30.7
0.4,55.8
73.8,49.4
57.9,22.8
75.8,52.6
73.7,47.2
78.3,52.8
68.8,142.2709
68.5,42.1
6.2,26.9
70.6,51.5
62.6,25.8
4.6,55.3
194.9,62.4
49.3,30.7
55.8,49.6
83.9,71.3
55.0,34.0
9.1,21.1
39.9,47.2
80.0,55.4
70.0,52.8
54.7,42.0
75.2,58.4
65.9,35.8
61.5,29.5
66.0,59.2
65.3,46.9
160.9,31.6
57.7,22.6
63.1,59.6
46.8,26.5
70.0,61.4
58.0,23.6
68.0,64.3
89.5,59.3
68.1,43.8
58.6,25.3
79.7,63.8
57.6,40.8
73.4,48.8
82.1,52.1
61.0,43.6
52.6,30.1
50.2,27.7
67.5,49.7
83.5,42.8
52.4,26.4
74.5,49.0
76.8,60.7
69.4,53.9
75.4,50.9
53.1,31.1
66.4,51.5
64.4,52.2
60.9,51.6
41.3,21.8
49.2,29.8
67.5,47.3
71.5,48.0
47.2,34.2
63.3,39.8
10.0,46.8
74.3,42.2
84.7,54.8
73.9,62.3
79.1,65.5
78.6,49.7
43.4,117.03545
176.4,47.2
1.3,31.4
7.9,29.0
66.8,64.9
51.1,30.0
70.6,58.8
64.0,35.9
48.3,21.2
66.0,39.2
153.6,26.9
74.7,45.2
53.8,23.8
57.8,43.8
66.4,31.0
71.4,59.8
96.3,52.9
54.0,34.4
69.4,42.2
nan,36.2
